ID,TIME,Age,Gender,Edu,XP,CRT1,CRT2,CRT3,CRT4,CRT5,CRT6,CRT7,CRTALL7_R,CRTALL7_I,CRTALL6_R,CRTALL6_I,CRTALL3_R,CRTALL3_I,CRT_Time,Familiarity,PBS_Avg,BeliefBias_Sum,AOM_Avg,DN_Avg,NUMERACY_Sum
107,28.03333333,45,1,2,1,2,1,2,2,2,2,2,1,6,1,5,1,2,3.1482,0,4,8,3.090909091,1,7
108,12.46666667,42,1,3,2,2,1,1,1,2,2,1,4,3,3,3,2,1,1.884083333,3,3.384615385,8,2.909090909,3.2,9
109,23.55,22,2,2,2,2,1,3,2,2,2,2,1,5,1,4,1,1,5.61705,7,1.115384615,8,4.090909091,2.2,8
110,24.51666667,18,1,2,0,1,3,1,3,3,1,1,4,0,3,0,2,0,4.142283333,7,2.615384615,4,4.454545455,1,10
111,21.93333333,51,1,2,0,1,1,1,3,1,3,1,5,0,4,0,3,0,8.388066667,0,4,6,4,3.2,5
112,8.883333333,28,1,4,1,2,1,1,1,2,2,2,3,4,3,3,2,1,1.994566667,0,2.384615385,8,3.909090909,2,11
113,15.08333333,43,2,3,2,2,2,1,2,1,1,1,4,3,3,3,1,2,3.3067,1,1.961538462,8,3.454545455,2,10
114,32.86666667,40,2,3,0,2,1,1,2,1,2,1,4,3,3,3,2,1,9.075283333,1,1.153846154,1,3.818181818,1,11
115,27.18333333,25,1,2,0,2,2,2,3,3,2,2,0,5,0,4,0,3,10.81015,0,3.961538462,7,3.272727273,4.4,8
116,16.65,31,2,2,0,2,1,1,1,2,1,2,4,3,4,2,2,1,3.52165,0,1.346153846,8,3.909090909,2.6,10
117,16.98333333,38,1,2,1,2,2,2,2,2,2,2,0,7,0,6,0,3,4.1078,0,2.192307692,8,4.181818182,1,10
118,20.55,36,2,3,2,2,2,2,2,2,1,1,2,5,1,5,0,3,3.69455,0,1.961538462,0,4,1,10
119,11.8,25,2,4,1,2,2,2,2,2,2,1,1,6,0,6,0,3,2.614566667,0,2.153846154,5,3.909090909,1.6,7
120,15.45,18,1,2,1,2,1,2,2,2,2,1,2,5,1,5,1,2,4.881166667,0,2.346153846,7,2.909090909,4,6
121,10.33333333,31,2,3,2,2,2,2,2,2,3,2,0,6,0,5,0,3,1.93355,7,2.115384615,6,3.545454545,3,9
122,36.65,27,2,3,2,2,1,2,2,2,2,1,2,5,1,5,1,2,5.862216667,0,2.615384615,5,3.909090909,3,8
123,14.61666667,30,2,3,0,2,1,1,3,1,1,1,5,1,4,1,2,1,4.293183333,0,3.153846154,5,4.545454545,2,11
124,10.36666667,23,2,3,2,2,2,2,1,2,1,1,3,4,2,4,0,3,5.635183333,0,3.538461538,6,3.454545455,4.2,3
125,25.41666667,37,2,3,0,1,2,2,3,2,1,1,3,3,2,3,1,2,7.25675,0,3.884615385,4,3.181818182,1,11
126,21.43333333,27,1,3,1,2,1,1,1,1,1,1,6,1,5,1,2,1,4.015533333,1,2.846153846,0,4.090909091,1,11
127,12.2,21,1,3,2,1,3,1,1,1,1,2,5,1,5,0,2,0,4.2056,3,1.192307692,0,4,4.8,11
128,8.583333333,33,1,5,1,2,2,1,2,2,2,1,2,5,1,5,1,2,1.6652,0,1.615384615,8,2.818181818,2,8
129,23.8,21,2,3,1,2,2,2,2,2,1,1,2,5,1,5,0,3,5.61975,0,4.038461538,7,3.818181818,1,11
130,20.01666667,43,2,2,1,1,1,1,2,1,2,2,4,3,4,2,3,0,3.971016667,1,2.923076923,6,3.545454545,2.6,9
131,14.95,41,1,3,2,1,1,1,1,1,1,1,7,0,6,0,3,0,3.907,0,1.653846154,3,3.636363636,1,11
132,23.31666667,52,2,3,1,2,1,1,2,1,1,1,5,2,4,2,2,1,4.018,1,3.807692308,8,4.090909091,2,7
133,21.4,31,1,2,0,2,2,2,1,2,2,2,1,6,1,5,0,3,6.97835,0,4.230769231,5,3,1.6,9
134,17.5,42,2,5,2,1,1,1,1,1,1,2,6,1,6,0,3,0,6.4429,0,3.5,1,3.363636364,2,11
135,14.75,43,2,3,2,1,1,2,1,1,1,1,6,1,5,1,2,1,2.671916667,3,1.230769231,1,4.454545455,2,11
136,23.55,33,1,2,2,2,2,2,3,3,1,3,1,3,1,3,0,3,5.823983333,0,2.384615385,7,3.818181818,1.8,8
